lake,date,julian_date,fraction_of_sample_counted,depth,nauplii,daphnia_pulex,daphnia_lumholtzi,adult_calanoid,juvenile_calanoid,adult_cyclopoid,juvenile_cyclopoid,ostracod,bosmina,neonate_daphnia,daphnia_longiremis,daphnia_ambigua,total_abundance
Poway,26-Jun,13177,64,32,30,111,0,4,58,5,18,0,0,0,0,0,226
Miramar,26-Jun,13177,32,26,94,84,1,9,12,9,21,0,2,4,0,0,236
Murray,26-Jun,13177,16,17,303,4,35,1,1,1,20,7,0,0,0,0,372
Murray,03-Jul,13184,64,17,181,0,57,1,2,7,19,2,147,6,0,0,422
Poway,03-Jul,13184,32,32,107,48,0,29,53,12,49,0,0,2,0,0,300
Miramar,03-Jul,13184,32,26,228,88,0,13,44,19,74,1,0,7,0,0,474
Murray,10-Jul,13191,32,15,317,0,4,0,0,63,18,37,0,0,0,0,439
Miramar,10-Jul,13191,32,26,48,104,0,26,0,37,30,0,0,9,27,8,289
Poway,10-Jul,13191,32,32,133,9,0,57,9,48,38,0,0,1,0,0,295
Murray,17-Jul,13198,32,13,308,1,2,0,0,51,11,0,9,0,0,0,382
Poway,17-Jul,13198,64,32,347,54,0,153,15,159,82,0,0,4,0,7,821
Miramar,17-Jul,13198,64,26,217,57,0,14,12,40,31,0,0,0,0,26,180
Murray,24-Jul,13205,32,13,158,2,2,3,0,60,14,12,0,0,0,0,251
Miramar,24-Jul,13205,32,24,129,108,1,12,10,45,18,0,0,2,0,4,329
Poway,24-Jul,13205,64,32,148,48,0,142,19,169,120,0,0,2,0,5,717
Poway,31-Jul,13212,128,25,83,54,0,51,0,98,41,0,0,5,0,2,334
Miramar,31-Jul,13212,32,23,121,57,0,7,24,30,10,0,0,2,0,9,260
Murray,31-Jul,13212,16,15,58,1,23,0,0,48,68,4,11,0,0,0,213
Miramar,07-Aug,13219,32,23,140,30,0,12,10,45,21,0,0,0,0,18,276
Poway,07-Aug,13219,64,21,159,85,0,95,12,55,83,0,0,0,0,0,489
Murray,07-Aug-13,13219,32,15,183,0,6,0,8,49,39,0,6,0,0,0,291
Poway,14-Aug-13,13226,64,22,153,109,0,189,25,80,106,0,0,0,0,1,663
Murray,19-Aug-13,13229,33,14,307,1,1,0,6,43,41,0,7,0,0,0,403
Miramar,14-Aug-13,13226,64,24,84,7,0,15,6,55,9,0,0,0,2,16,194
Poway,21-Aug,13233,128,23,83,43,0,48,16,134,88,0,0,0,0,22,434
Murray,21-Aug-13,13233,16,16,157,3,0,10,4,12,11,0,0,0,1,5,202
Miramar,21-Aug-13,13233,17,23.5,106,21,2,26,27,54,3,1,0,4,0,45,282
Poway,28-Aug-13,13240,64,23,142,38,1,116,26,35,99,0,0,0,0,38,495
Murray,28-Aug-13,13240,32,14,183,0,6,0,8,49,39,0,6,0,0,0,291
Miramar,28-Aug-13,13240,4,24,167,6,3,4,6,17,13,3,0,0,7,0,226
Miramar,04-Sep-13,13247,32,24,101,29,0,9,8,35,16,0,0,0,0,5,203
Murray,04-Sep-13,13247,16,15,191,1,0,1,1,34,17,0,4,0,0,0,249
Poway,04-Sep-13,13247,64,15,190,22,0,58,12,29,58,0,0,1,0,25,395
Murray,11-Sep-13,13254,16,15,251,0,1,0,4,40,29,1,6,0,0,0,332
Poway,11-Sep-13,13254,64,14,150,52,0,49,12,12,41,0,0,2,0,12,332
Miramar,11-Sep-13,13254,32,24,57,43,1,20,21,71,6,0,0,4,0,8,231
Murray,18-Sep-13,13261,32,16,233,0,2,0,5,78,0,1,17,0,0,0,336
Poway,18-Sep-13,13261,64,14,91,37,0,75,30,55,2,0,0,2,19,0,311
Miramar,18-Sep-13,13261,32,24,120,5,0,12,11,63,1,0,0,0,0,2,214
Miramar,24-Sep,13267,32,24,83,53,0,11,6,33,33,0,0,0,0,0,219
Murray,24-Sep,13267,16,14,297,5,1,0,1,41,91,1,28,0,0,0,465
Poway,24-Sep,13267,16,6,109,2,2,99,59,6,99,2,0,0,0,0,376
Murray,04-Oct,13277,32,14,402,0,9,4,14,7,113,0,8,0,0,0,557
Miramar,04-Oct,13277,32,24,131,58,0,34,70,15,100,0,1,14,0,17,423
Poway,05-Oct,13278,16,10.5,46,0,0,23,77,15,74,1,0,4,91,0,330
Murray,10-Oct,13283,64,15,352,0,26,0,9,140,50,64,0,0,0,0,641
Miramar,10-Oct,13283,32,24,89,30,5,57,11,107,30,0,2,1,1,10,343
Poway,12-Oct,13285,32,10,17,22,0,54,29,10,28,1,1,2,6,30,200
Murray,18-Oct-13,13291,64,14,163,0,60,0,2,65,5,1,7,2,0,0,305
Miramar,18-Oct-13,13291,64,24,77,57,0,11,10,43,9,0,4,2,0,2,215
Poway,20-Oct-13,13293,64,10,45,40,0,69,4,33,41,0,0,4,0,4,240
Poway,27-Oct,13300,64,12,37,0,0,53,7,38,81,0,0,9,78,0,303
Miramar,27-Oct,13300,32,24,61,53,0,15,5,56,21,0,0,1,0,2,214
Murray,27-Oct,13300,32,14,220,1,7,1,5,100,44,0,18,0,0,0,396
Miramar,03-Nov-13,13307,32,24,57,50,0,32,5,77,13,0,0,3,0,0,237
Murray,03-Nov-13,13307,64,16,186,0,3,0,3,180,45,0,33,0,0,0,450
Poway,02-Nov-13,13306,32,12,41,41,0,21,3,78,57,5,0,0,0,4,250
Miramar,09-Nov-13,13313,32,24,124,48,1,49,16,103,23,1,0,0,0,14,379
Murray,09-Nov-13,13313,128,15,183,0,0,1,0,195,75,1,47,0,0,0,503
Poway,10-Nov-13,13314,32,12,57,21,0,34,2,157,40,1,0,3,0,9,324
Miramar,15-Nov-13,13319,32,22,129,73,0,61,16,101,34,1,0,5,0,19,439
Murray,16-Nov-13,13320,128,16,232,0,0,0,1,205,93,1,20,0,0,0,553
Poway,16-Nov-13,13320,64,15,54,39,0,21,2,120,19,0,0,6,0,1,262
Poway,22-Nov-13,13326,64,16,82,34,0,19,7,167,59,0,0,1,0,1,370
Murray,23-Nov-13,13327,128,16,171,1,0,1,2,252,3,0,12,0,0,0,445
Miramar,23-Nov-13,13327,32,24,102,23,0,18,15,73,54,0,0,1,0,4,290
Murray,09-Dec-13,13343,256,16,222,0,1,2,3,311,86,0,65,1,0,0,695
Miramar,09-Dec-13,13343,32,23,134,35,0,18,4,111,42,0,3,2,0,1,351
Poway,09-Dec-13,13343,16,7,23,52,0,21,11,58,25,0,0,2,0,4,196
Miramar,22-Dec-13,13356,32,25,85,14,0,5,6,75,30,1,0,0,0,0,216
Murray,22-Dec-13,13356,256,16,106,0,1,2,2,116,19,0,127,0,0,0,378
Poway,22-Dec-13,13356,32,17,73,62,0,23,27,70,11,0,0,0,0,0,266
Poway,05-Jan-14,14005,32,16,41,151,0,57,19,38,1,0,0,11,0,0,318
Murray,05-Jan-14,14005,64,16,406,2,2,7,3,406,18,0,107,0,3,0,969
Miramar,05-Jan-14,14005,32,24,96,80,0,8,9,85,6,0,3,2,0,2,291
Miramar,12-Jan-14,14012,32,24,88,91,0,11,10,35,6,0,0,0,0,0,241
Murray,12-Jan-14,14012,64,16,102,0,0,0,0,132,14,1,44,0,7,0,300
Poway,12-Jan-14,14012,64,14,60,47,0,29,20,25,8,0,0,9,0,0,198
Murray,19-Jan-14,14019,64,16,98,4,0,0,1,193,13,0,41,0,0,1,351
Miramar,19-Jan-14,14019,32,24,55,90,0,12,9,47,7,0,0,0,0,0,220
Poway,19-Jan-14,14019,32,20,55,90,0,12,9,47,7,0,0,0,0,0,220
Poway,26-Jan-14,14026,32,26,90,50,0,30,15,29,3,1,0,0,0,1,219
Miramar,26-Jan-14,14026,16,24,113,135,0,29,20,41,4,0,0,1,0,5,348
Murray,27-Jan-14,14027,32,12,31,1,0,0,0,73,4,0,124,2,12,0,249
Miramar,02-Feb-14,14033,64,26,113,108,2,16,9,19,29,0,1,0,0,0,297
Murray,02-Feb-14,14033,128,16,130,3,0,0,0,75,21,1,200,1,13,0,447
Poway,02-Feb-14,14033,32,28,60,68,0,33,10,17,7,0,6,0,0,0,201
Poway,09-Feb-14,14040,32,30,67,71,0,23,17,18,0,0,0,2,0,0,198
Miramar,09-Feb-14,14040,16,24,119,80,0,15,13,31,0,0,1,0,0,0,259
Murray,09-Feb-14,14040,128,17.5,47,0,0,1,2,61,1,0,263,3,18,0,397
Murray,16-Feb-14,14047,64,17,144,3,0,2,2,94,8,0,99,2,9,0,366
Miramar,16-Feb-14,14047,8,24,119,38,0,18,5,28,1,0,5,1,0,0,215
Poway,16-Feb-14,14047,32,30,103,62,0,37,2,21,0,0,0,1,0,0,226
Murray,21-Feb-14,14052,128,15,99,2,0,0,0,72,0,0,85,0,22,0,284
Miramar,21-Feb-14,14052,32,25,141,110,0,41,12,58,2,0,2,13,0,0,379
Poway,22-Feb-14,14053,64,26,103,51,0,25,6,19,0,0,1,2,0,0,207
Murray,03-Mar-13,14062,128,14,57,46,0,4,0,59,24,0,383,0,0,73,646
Miramar,03-Mar-14,14062,64,25,80,66,6,10,4,19,27,0,0,0,0,1,213
Poway,02-Mar-14,14061,32,30,133,65,0,18,8,7,20,0,0,0,0,0,251
Murray,09-Mar-14,14068,128,8,26,21,0,0,0,61,0,0,100,4,1,42,265
Poway,09-Mar-14,14068,32,27.3,182,83,0,75,18,20,0,0,2,2,0,0,382
Miramar,09-Mar-14,14068,32,26,12,85,0,34,9,35,3,0,0,0,0,1,179
Miramar,16-Mar-14,14075,32,23,111,125,0,53,4,33,23,1,8,6,0,0,364
Poway,16-Mar-14,14075,32,29,156,168,0,83,1,61,5,0,2,10,0,0,486
Murray,16-Mar-14,14075,64,14,126,157,0,6,0,20,1,0,13,2,0,0,325
Poway,22-Mar-14,14081,64,29,60,111,0,44,27,15,2,0,0,2,0,0,261
Miramar,22-Mar-14,14081,32,24,12,86,0,47,8,70,1,0,0,6,0,29,259
Murray,22-Mar-14,14081,128,16,37,83,0,0,0,37,0,0,4,11,0,39,211
Poway,03-Apr-14,14093,16,32,158,61,0,22,2,8,11,0,0,0,0,0,262
Miramar,03-Apr-14,14093,16,23,73,81,5,15,0,21,5,0,0,1,0,0,201
Murray,03-Apr-14,14093,64,16,61,174,4,1,0,28,0,0,5,1,0,0,274
Miramar,10-Apr-14,14100,64,24,105,74,0,21,10,41,1,0,0,1,0,8,261
Poway,10-Apr-14,14100,64,27,39,44,0,43,12,43,1,0,0,4,0,6,192
Murray,10-Apr-14,14100,64,16,56,67,0,2,5,21,4,0,1,6,0,59,221
Poway,17-Apr-14,14107,32,29,68,65,0,42,1,50,15,0,0,7,0,0,248
Murray,17-Apr-14,14107,16,16,85,121,0,21,1,97,8,0,3,4,0,0,340
Miramar,17-Apr-14,14107,32,24,119,64,0,24,0,19,4,0,0,2,0,0,232
Miramar,24-Apr-14,14114,32,24,152,28,0,23,25,65,2,0,1,5,0,0,301
Poway,24-Apr-14,14114,64,31,39,47,0,26,6,34,0,0,0,11,0,28,191
Murray,24-Apr-14,14114,64,16,79,33,0,6,8,47,2,0,3,6,0,51,235
Miramar,01-May-14,14121,64,24,106,44,1,14,4,63,35,0,0,2,0,1,270
Murray,01-May-14,14121,64,13,143,203,0,29,2,35,4,0,4,4,0,0,424
Murray,08-May-14,14128,64,16,115,28,0,23,7,76,6,0,5,0,0,10,271
Poway,08-May-14,14128,16,29,123,91,0,24,25,56,4,0,0,0,0,0,324
Miramar,08-May-14,14128,32,24,126,62,0,18,14,77,14,1,0,5,0,0,317
Miramar,15-May-14,14135,32,24,199,38,0,15,14,71,26,0,0,1,0,4,368
Murray,15-May-14,14135,64,16,89,97,0,16,19,70,24,0,10,16,0,22,363
Poway,15-May-14,14135,16,29,134,50,0,39,39,65,1,0,0,2,0,0,330
Poway,22-May-14,14142,64,30,59,110,0,11,8,14,13,0,0,7,0,0,222
Miramar,22-May-14,14142,32,23,208,67,1,21,1,40,85,0,0,0,0,0,423
Murray,22-May-14,14142,64,16,165,75,0,12,0,31,22,0,10,0,0,0,315
Miramar,29-May-14,14149,64,24,110,22,0,9,14,55,9,1,0,3,0,6,229
Murray,29-May-14,14149,64,15,110,37,0,28,16,75,9,0,3,5,0,2,285
Poway,29-May-14,14149,32,29,116,22,0,25,14,39,3,0,0,2,0,7,228
Poway,05-Jun-14,14156,32,29,156,168,0,83,1,61,5,0,2,10,0,0,486
Miramar,05-Jun-14,14156,32,24,268,101,0,59,2,86,22,0,0,3,0,0,541
Murray,05-Jun-14,14156,32,16,114,84,0,47,0,54,11,0,0,1,0,0,311
Murray,13-Jun-14,14164,128,16,107,42,0,17,8,73,4,0,10,7,0,37,305
Poway,15-Jun-14,14166,32,29,199,19,0,21,8,116,0,0,0,3,0,8,374
Miramar,15-Jun-14,14166,32,24,218,50,0,24,16,117,20,0,0,3,0,2,450
Poway,19-Jun-14,14170,32,29,122,30,0,10,6,81,0,0,0,0,0,8,257
Miramar,19-Jun-14,14170,32,24,422,43,0,21,21,151,33,0,0,0,0,1,692
Murray,19-Jun-14,14170,128,16,81,52,0,4,3,30,0,0,4,2,0,21,197
Murray,26-Jun-14,14177,64,16,97,24,0,4,4,75,3,0,0,6,0,10,223
Poway,26-Jun-14,14177,64,29,121,29,0,12,2,47,0,0,0,3,0,1,215
Miramar,26-Jun-14,14177,32,24,285,17,0,30,21,117,0,0,0,2,0,2,474
